TP,TM_FC,SEQ,TM_EQK,MSC,MT,LAT,LON,LOC,INT,REM,COR
2,200303190000,13,20030319230518.004,2.3,36.5000,129.6000,경북 영덕 북동쪽 약 20km 해역,,-포항기상대와  울진기상대 확인 결과 무감임.,,=
1,200303190000,13,20030319230518.004,2.3,36.5000,129.6000,경북 영덕 북동쪽 약 20km 해역,,-포항기상대와  울진기상대 확인 결과 무감임.,,=
3,200303230545,14,20030323053841.000,4.9,35.0000,124.6000,경북 영덕 북동쪽 약 20km 해역,진도 4~2,진도Ⅳ : 신안, 목포 함평 \n진도Ⅲ : 나주, 광주
5,200303230545,14,20030323053841.000,4.9,35.0000,124.6000,전남 홍도 북서쪽 약 50km 해역,진도 4~2,진도Ⅳ : 신안, 목포 함평 \n진도Ⅲ : 나주, 광주
3,200303230545,14,20030323053841.000,4.9,35.0000,124.6000,전남 홍도 북서쪽 약 50km 해역,진도 4~2,진도Ⅳ : 신안, 목포 함평 \n진도Ⅲ : 나주, 광주
3,200303230545,14,20030323053841.000,4.9,35.0000,124.6000,전남 홍도 북서쪽 약 50km 해역,진도 4~2,진도Ⅳ : 흑산도, 신안, 목포 함평 \n진도Ⅲ : 진도
3,200303230545,14,20030323053841.000,4.9,35.0000,124.6000,전남 홍도 북서쪽 약 50km 해역,진도 4~2,진도Ⅳ : 흑산도, 목포\n진도Ⅲ : 완도, 보성
3,200303302020,15,20030330201052.008,5.0,37.8000,123.7000,인천광역시 백령도 서남서쪽 약 80km 해역,진도 4~2,진도Ⅳ : 백령도\n진도Ⅲ : 영종도\n진도Ⅱ : 문산, 의정부, 서울
1,200304012240,16,20030401222637.006,2.1,36.4000,127.8000,충북 보은 남동쪽 약 10km 지역,무감,추풍령기상대에 확인 결과 무감임,,=
3,200304050035,17,20030405002508.001,2.5,36.2000,127.3000,충남 금산 북서쪽 약 20km 지역,유감\n진도 II : 금산, 대전,지금까지 조사된 바에 의하면 이 지진으로 인하여 금산 및 대전지역에서\n창문이 흔들리는 정도의 진동을 느꼈음.,
3,200304050042,18,20030405003132.000,2.9,36.2000,127.3000,충남 금산 북서쪽 약 20km 지역,유감\n진도 II : 금산, 대전,지금까지 조사된 바에 의하면 이 지진으로 인하여 금산 및 대전지역에서\n창문이 흔들리는 정도의 진동을 느꼈음.,
1,200304050106,19,20030405005609.004,2.4,36.2000,127.3000,충남 금산 북서쪽 약 20km 지역,무감,대전지방기상청 확인 결과 무감임.,,=
1,200304160000,20,20030416025525.003,3.3,36.4000,126.3000,충남 안면도 남서쪽 약 10km 해역 ,무감,- 안면도의 지구대기감시관측소, 서산기상대 확인 결과 무감임 ,
1,200306040220,22,20030608020756.006,2.6,36.5000,125.1000,충남 격렬비열도 서남서쪽 약 40km 해역,무감,- 서산기상대에 확인 결과 무감임,,=
1,200306040345,21,20030604033409.009,2.7,35.2000,125.2000,전남 흑산도 북북서쪽 약 60km 해역,무감,- 흑산도기상대에 확인 결과 무감임,,=
1,200306080220,22,20030608020756.006,2.6,36.5000,125.1000,충남 격렬비열도 서남서쪽 약 40km 해역,무감,- 서산기상대에 확인 결과 무감임,,=
1,200306091024,23,20030604101404.001,4.0,36.0000,123.6000,전북 군산 서쪽 약 280km 해역,무감,- 군산기상대, 서산기상대, 흑산도기상대
1,200306091024,23,20030609101404.001,4.0,36.0000,123.6000,전북 군산 서쪽 약 280km 해역,무감,- 군산기상대, 서산기상대, 흑산도기상대
1,200306291205,24,20030629115351.000,2.1,35.7000,124.8000,전북 부안 서쪽 약 170km 해역,무감,- 군산기상대에 확인 결과 무감임,,=
1,200307051228,25,20030705121828.004,3.0,37.4000,125.3000,인천광역시 서쪽 약 120km 해역,무감,- 인천, 백령도, 서산기상대에 확인 결과 무감임.
1,200307090000,26,20030709152010.001,2.7,34.9000,128.2000,경남 사천 동쪽 약 10km 해안,무감,- 통영, 여수기상대 및 남해, 거제기상관측소에 확인 결과 무감임.
1,200307180000,27,20030718170522.009,2.9,35.0000,124.3000,전남 흑산도 서북서쪽 약 110km 해역,무감,- 흑산도, 진도 및 목포기상대에 확인 결과 무감임.,
1,200307280622,28,20030728061254.007,2.7,35.1000,124.7000,전남 흑산도 북서쪽 약 85km 해역,무감,- 흑산도기상대에 확인 결과 무감임.,,=
1,200308051114,29,20030805110419.008,2.7,36.8000,129.5000,경북 울진 남남동쪽 약 20km 해역,무감,- 울진기상대, 봉화 및 태백기상관측소에 확인 결과 무감임,
1,200308120100,30,20030812012555.008,2.6,34.7000,130.3000,부산 동남동쪽 약120km 해역,무감,- 부산기상청, 울산기상대에 확인결과 무감임,
1,200308120100,30,20030812012555.008,2.6,34.7000,130.3000,부산 동남동쪽 약120km 해역,무감,- 부산기상청, 울산기상대에 확인결과 무감임,
1,200308120100,30,20030812012555.008,2.6,34.7000,130.3000,부산 동남동쪽 약120km 해역,무감,- 부산기상청, 울산기상대에 확인결과 무감임,
1,200308120100,30,20030812012555.008,2.6,34.7000,130.3000,부산 동남동쪽 약120km 해역,무감,- 부산기상청, 울산기상대에 확인결과 무감임,
1,200309192055,31,20030919204828.001,2.0,37.5000,124.5000,인천 백령도 남남서쪽 약 50km 해역,무감,- 백령도 기상대에 확인결과 무감임,,=
1,200309192055,31,20030919204828.001,2.9,37.5000,124.5000,인천 백령도 남남서쪽 약 50km 해역,무감,- 백령도 기상대에 확인결과 무감임,,=
1,200309240335,32,20030924032656.002,2.3,35.8000,128.5000,대구광역시 남서쪽 약 10km 지역,무감,- 대구 기상대에 확인결과 무감임,,=
1,200309251535,33,20030925152417.002,2.5,36.0000,129.6000,경북 포항 동쪽  약 20km 지역,무감,- 포항 기상대에 확인결과 무감임,,=
1,200310040510,34,20031004045922.001,2.3,33.2000,126.9000,제주 성산 남쪽  약 20km 해역,무감,- 서귀포기상대에 확인결과 무감임,,=
3,200310050535,35,20031005050353.001,2.1,36.3000,127.3000,대전광역시 서쪽 약10km 지역,유감,- 지금까지 조사된 바에 의하면 이 지진으로 인하여 대전지역에서 창문이 흔들리는 정도의 약한 진동을 느꼈음,,=
3,200310131820,36,20031013181204.005,3.6,37.0000,126.5000,충남 당진 북서쪽 약 20km 지역,유감,- 지금까지 조사된 바에 의하면 이 지진으로 인하여 당진, 서산, 태안을 포함한 서울
1,200310140150,37,20031014014438.001,2.4,34.1000,127.5000,전남 여수시 거문도 북동쪽 약 20km 해역,무감,- 여수기상대와 완도 기상대에 확인결과 무감임,,=
1,200310171205,38,20031017115556.007,2.0,35.8000,129.4000,경북 경주 동쪽 약 20km 지역,무감,- 울산기상대와  포항기상대에 확인 결과 무감임,,=
3,200401050620,1,20040105061151.003,2.9,36.2000,127.0000,충남 논산 서쪽 약 5km 지역,유감\n진도 I : 대전\n,- 이 지진으로 인하여 대전지역에서 약한 진동을 느꼈음.,,=
1,200401060200,2,20040106014941.008,3.2,38.7000,125.1000,평남 남포 서쪽 약 30km 해역,무감,- 북한 해역으로 유감 여부 확인 불가임.,,=
1,200401170958,3,20040117094740.000,2.9,33.7000,125.8000,제주 북서쪽 약 70km 해역,무감,- 제주지방기상청, 서귀포기상대, 완도기상대
